ds,INVERTER1.1_Active Power_Kw,INVERTER1.1_AC Current (A)_Phase 1,INVERTER1.1_AC Current (A)_Phase 2,INVERTER1.1_AC Current (A)_Phase 3,INVERTER1.1_AC Voltage (V)_BR,INVERTER1.1_AC Voltage (V)_RY,INVERTER1.1_AC Voltage (V)_YB,INVERTER1.1_Todays Gen_Kwh,INVERTER1.1_DC Current,INVERTER1.1_DC Voltage,INVERTER1.1_DC Power_Kw,INVERTER1.1_Reactive power_Kvar,INVERTER1.1_Inverter_Temp.,INVERTER1.1_Power Factor
12/8/2024 3:35:00 PM,439.3005495,446.8972361,445.3646589,457.1093565,619.6980761,625.3929007,614.9772231,4196.950227,-2397.518025,741.3166758,450.4000484,-24556.21119,52.15676702,-24.10325472
12/8/2024 3:36:00 PM,435.8462612,443.3263763,441.7958092,453.5422674,619.6999593,625.3958599,614.9636728,4201.670182,-2387.596325,741.3704717,446.8734643,-24548.95943,52.09513155,-24.09598475
12/8/2024 3:37:00 PM,432.3825625,439.7461895,438.2176446,449.9658552,619.7027161,625.3996975,614.9508652,4206.319261,-2376.40543,741.4108277,443.3375024,-24541.06616,52.03351207,-24.08809388
12/8/2024 3:38:00 PM,428.9096569,436.1568909,434.6303803,446.3803349,619.7063468,625.4044139,614.9388002,4210.897335,-2363.937303,741.4376115,439.7923715,-24532.52729,51.97191568,-24.07957818
12/8/2024 3:39:00 PM,425.4277504,432.5586981,431.0342336,442.7859241,619.710851,625.4100097,614.9274772,4215.404283,-2350.184128,741.4506917,436.2382822,-24523.33886,51.91034944,-24.07043382
12/8/2024 3:40:00 PM,421.9370509,428.9518306,427.4294241,439.1828423,619.7162287,625.416485,614.9168959,4219.839992,-2335.138315,741.4499384,432.6754474,-24513.497,51.84882037,-24.06065707
12/8/2024 3:41:00 PM,418.4377683,425.3365101,423.8161733,435.5713109,619.7224791,625.4238398,614.9070553,4224.204356,-2318.792497,741.435223,429.104082,-24502.99792,51.78733548,-24.05024428
12/8/2024 3:42:00 PM,414.9301146,421.7129602,420.1947048,431.9515536,619.7296016,625.4320739,614.8979547,4228.497281,-2301.139536,741.4064178,425.5244029,-24491.83796,51.72590174,-24.03919192
12/8/2024 3:43:00 PM,411.4143041,418.081407,416.5652442,428.3237962,619.7375952,625.4411869,614.8895929,4232.718677,-2282.172519,741.3633967,421.9366291,-24480.01355,51.6645261,-24.02749655
12/8/2024 3:44:00 PM,407.8905528,414.4420781,412.9280194,424.6882664,619.7464589,625.4511781,614.8819686,4236.868466,-2261.884766,741.3060349,418.3409815,-24467.52123,51.60321545,-24.01515482
